geometry,ano,estado,area_km2
"MULTIPOLYGON (((-72.86096632 -7.46863578, -72.85989908 -7.46858496, -72.85979744 -7.46810216, -72.85931464 -7.46810216, -72.85944169 -7.4694235, -72.86000072 -7.46975384, -72.86035647 -7.46995712, -72.86106797 -7.46983007, -72.86127125 -7.4694235, -72.86129666 -7.46886447, -72.86096632 -7.46863578)))",2013,AC,0.03
"MULTIPOLYGON (((-72.86416953 -7.46482013, -72.86317156 -7.46483326, -72.86317156 -7.46453125, -72.86264632 -7.46446559, -72.86263319 -7.46430802, -72.8621736 -7.46422923, -72.86210795 -7.46451812, -72.86191098 -7.46451812, -72.86180593 -7.46483326, -72.86128069 -7.46482013, -72.86128069 -7.46510902, -72.86205542 -7.46512215, -72.86208168 -7.46537164, -72.86183219 -7.46535851, -72.86184532 -7.46585749, -72.86124129 -7.46596254, -72.86122816 -7.46752514, -72.8639463 -7.46751201, -72.86401195 -7.46701303, -72.86426144 -7.46699989, -72.86427458 -7.4667504, -72.86460343 -7.46663261, -72.86455033 -7.46482013, -72.86416953 -7.46482013)))",2013,AC,0.1
"MULTIPOLYGON (((-72.84237667 -7.47640401, -72.84303944 -7.47704813, -72.84355151 -7.47705063, -72.84364291 -7.4765849, -72.84412528 -7.47661505, -72.84409447 -7.47705329, -72.84530108 -7.47673564, -72.84527093 -7.47601207, -72.84499959 -7.47595178, -72.8448187 -7.47555984, -72.84433632 -7.47543925, -72.84439662 -7.47453479, -72.84391424 -7.47465539, -72.84255756 -7.47577088, -72.84237667 -7.47640401)))",2013,AC,0.05
"MULTIPOLYGON (((-72.91400422 -7.47736188, -72.91400507 -7.47718213, -72.91398077 -7.47680952, -72.91448428 -7.47679753, -72.91448428 -7.4766297, -72.91447229 -7.47644987, -72.91368106 -7.47647385, -72.91368106 -7.47738496, -72.91400422 -7.47736188)))",2013,AC,0.01
"MULTIPOLYGON (((-72.97065759 -7.42024523, -72.97054338 -7.4207592, -72.96843042 -7.42070209, -72.96848753 -7.42144448, -72.96928702 -7.42167291, -72.96928702 -7.4224153, -72.97037206 -7.42252952, -72.97082892 -7.42218687, -72.97157131 -7.42184423, -72.97179974 -7.42024523, -72.97065759 -7.42024523)))",2013,AC,0.06
"MULTIPOLYGON (((-72.97275137 -7.42546696, -72.97178769 -7.42546696, -72.9717636 -7.42609335, -72.97337776 -7.42609335, -72.97340186 -7.42570788, -72.97287183 -7.42570788, -72.97289592 -7.42551514, -72.97275137 -7.42546696)))",2013,AC,0.01
"MULTIPOLYGON (((-72.89090543 -7.38877907, -72.88993452 -7.38873391, -72.88964099 -7.38898228, -72.88930229 -7.38914034, -72.88934745 -7.38981772, -72.89101833 -7.38986288, -72.89095059 -7.38902744, -72.89090543 -7.38877907)))",2013,AC,0.02
"MULTIPOLYGON (((-72.97553091 -7.42560435, -72.97623234 -7.42560755, -72.97661189 -7.42560928, -72.97666221 -7.42549904, -72.97691358 -7.42546552, -72.97696385 -7.42521415, -72.9772236 -7.42518064, -72.97729901 -7.42489575, -72.9780196 -7.42492927, -72.97802798 -7.424636, -72.97831286 -7.42464438, -72.97832962 -7.42440977, -72.97831286 -7.42407461, -72.97831286 -7.42387352, -72.97779337 -7.42386514, -72.97778499 -7.42358864, -72.97726549 -7.42358864, -72.97724036 -7.42384, -72.97668735 -7.42386514, -72.97667059 -7.42413327, -72.97639408 -7.42413327, -72.9763857 -7.42492089, -72.97591648 -7.42492927, -72.97587459 -7.42517226, -72.97556457 -7.42518064, -72.97553091 -7.42560435)))",2013,AC,0.04
"MULTIPOLYGON (((-72.96803463 -7.42785086, -72.96803485 -7.42780269, -72.96803514 -7.42773977, -72.96806982 -7.42773992, -72.96821891 -7.42774061, -72.96821902 -7.42757143, -72.9684648 -7.42761612, -72.96858102 -7.42719985, -72.96912472 -7.42713593, -72.96912641 -7.42676699, -72.9691269 -7.42665993, -72.97008484 -7.42666431, -72.97012942 -7.42656596, -72.96988364 -7.42654361, -72.96984034 -7.4262622, -72.96983744 -7.42625309, -72.96852066 -7.42620845, -72.96856535 -7.4265101, -72.96773863 -7.42653244, -72.96767159 -7.42704635, -72.96743698 -7.42705752, -72.96740347 -7.42754909, -72.96767159 -7.42756026, -72.96767159 -7.42783956, -72.96803463 -7.42785086)))",2013,AC,0.02
"MULTIPOLYGON (((-72.96903457 -7.42464438, -72.96904574 -7.42519181, -72.96934738 -7.42518064, -72.96936973 -7.42541525, -72.96986257 -7.42543715, -72.96987247 -7.42543759, -72.96987609 -7.42518724, -72.96988364 -7.42466673, -72.96903457 -7.42464438)))",2013,AC,0.01
