geometry,ano,estado,area_km2
"MULTIPOLYGON (((-63.06767719 -7.54327021, -63.06752766 -7.543968, -63.06777688 -7.544915, -63.06692956 -7.54581216, -63.06563366 -7.54745695, -63.06717877 -7.54890237, -63.06787656 -7.54875284, -63.06872388 -7.54700837, -63.07021914 -7.54591184, -63.06987024 -7.544915, -63.0688734 -7.54366895, -63.06767719 -7.54327021)))",2013,AM,0.15
"MULTIPOLYGON (((-63.07685396 -7.70216049, -63.07638877 -7.70235986, -63.07645523 -7.70282506, -63.07585712 -7.70322379, -63.07585712 -7.70222695, -63.07333179 -7.70295797, -63.07160393 -7.70335671, -63.06947733 -7.70442, -63.07074 -7.70628078, -63.07266723 -7.70707825, -63.07333179 -7.7076099, -63.07592358 -7.70947067, -63.07632231 -7.71006878, -63.07771789 -7.70993586, -63.07824954 -7.70893902, -63.0789141 -7.70893902, -63.08011031 -7.70940422, -63.07957867 -7.71000232, -63.07818309 -7.71053397, -63.07864828 -7.71146436, -63.07964512 -7.7124612, -63.07904702 -7.71299285, -63.07931284 -7.71365741, -63.0842306 -7.71179664, -63.08177172 -7.70561621, -63.07771789 -7.70634723, -63.07685396 -7.70216049)))",2013,AM,0.86
"MULTIPOLYGON (((-63.16540894 -7.67709668, -63.16301652 -7.68018689, -63.16052441 -7.68252947, -63.15937804 -7.68467268, -63.16291683 -7.68576921, -63.16795089 -7.68696542, -63.17632436 -7.68885942, -63.17677294 -7.68601842, -63.17089157 -7.6842241, -63.16530925 -7.68208089, -63.1663061 -7.68083484, -63.16810041 -7.67978815, -63.16829978 -7.67774463, -63.16810041 -7.67679763, -63.16660515 -7.67689731, -63.16540894 -7.67709668)))",2013,AM,0.96
"MULTIPOLYGON (((-61.72153875 -8.45203585, -61.72108189 -8.45152189, -61.7203395 -8.45152189, -61.71993975 -8.45220717, -61.71845497 -8.45272114, -61.71845497 -8.4548341, -61.71908314 -8.4556336, -61.72073925 -8.45574781, -61.72062503 -8.45774656, -61.71965421 -8.45780366, -61.71908314 -8.45928845, -61.71885471 -8.46117298, -61.7187405 -8.46220091, -61.71822654 -8.46260066, -61.71885471 -8.46351437, -61.71993975 -8.46317173, -61.72039661 -8.46151562, -61.72085346 -8.46123009, -61.72273799 -8.46094455, -61.72262378 -8.45866027, -61.72348039 -8.45626177, -61.72410856 -8.45466278, -61.72399435 -8.4524356, -61.72256667 -8.45180742, -61.72250957 -8.45180742, -61.72153875 -8.45203585)))",2013,AM,0.5
"MULTIPOLYGON (((-61.73277066 -8.40875551, -61.73202827 -8.41058294, -61.7306577 -8.41178219, -61.73008663 -8.41235326, -61.73042928 -8.41366672, -61.73128588 -8.41623654, -61.73231381 -8.41709314, -61.73282777 -8.41817818, -61.73151431 -8.41874925, -61.72940135 -8.41846371, -61.72854474 -8.41863503, -61.72894449 -8.42011982, -61.72940135 -8.42086221, -61.72940135 -8.42257542, -61.72894449 -8.42394599, -61.7306577 -8.42577342, -61.73105745 -8.42868588, -61.73122877 -8.43085595, -61.72991531 -8.43245494, -61.72837342 -8.4345679, -61.72854474 -8.43668087, -61.72940135 -8.43799433, -61.73174274 -8.43496765, -61.73299909 -8.43279759, -61.7363113 -8.43274048, -61.7363113 -8.43154123, -61.73505495 -8.43062752, -61.73499784 -8.42988513, -61.73591155 -8.4296567, -61.73596866 -8.42702977, -61.73488363 -8.42617317, -61.73351306 -8.42674424, -61.73317041 -8.42794349, -61.73231381 -8.42691556, -61.73351306 -8.42417442, -61.73345595 -8.42291806, -61.73259934 -8.42223278, -61.73277066 -8.42057667, -61.7354547 -8.42069089, -61.73528338 -8.41783554, -61.73391281 -8.41469465, -61.73357016 -8.41223904, -61.73408413 -8.41132533, -61.73368438 -8.40904105, -61.73277066 -8.40875551)))",2013,AM,1.26
"MULTIPOLYGON (((-61.73910179 -8.44245009, -61.73801676 -8.44199323, -61.73698883 -8.44222166, -61.73641776 -8.44324959, -61.73544694 -8.44279273, -61.73504719 -8.44165059, -61.73356241 -8.4417077, -61.73230605 -8.44033713, -61.7261956 -8.44028002, -61.72568163 -8.4393092, -61.72499635 -8.44022291, -61.72396842 -8.4417648, -61.72322603 -8.44370644, -61.72465371 -8.44536255, -61.72522478 -8.44701865, -61.72391131 -8.44896029, -61.72271207 -8.45004533, -61.72316892 -8.45095904, -61.72659535 -8.4498169, -61.72825145 -8.45010244, -61.7302502 -8.45272936, -61.73144945 -8.45335754, -61.73236316 -8.45187275, -61.73367662 -8.45198697, -61.73419059 -8.45118747, -61.73447612 -8.45010244, -61.73293423 -8.44918872, -61.7319063 -8.44810369, -61.72962202 -8.44833212, -61.72745195 -8.44644758, -61.72688088 -8.44450594, -61.72762327 -8.44279273, -61.72939359 -8.44410619, -61.73282002 -8.44422041, -61.73373373 -8.44524834, -61.73561826 -8.44621916, -61.73681751 -8.4466189, -61.73773122 -8.44427752, -61.7391589 -8.44439173, -61.73921601 -8.44427752, -61.73910179 -8.44245009)))",2013,AM,1.18
"MULTIPOLYGON (((-61.70066557 -8.45113036, -61.70195999 -8.45204408, -61.70081785 -8.45204408, -61.700361 -8.45341465, -61.70150314 -8.45394764, -61.70226457 -8.45463293, -61.70310214 -8.45463293, -61.7044727 -8.45508979, -61.7060717 -8.45676493, -61.70751841 -8.45882078, -61.70797527 -8.45836392, -61.70850827 -8.45752635, -61.70888898 -8.45607964, -61.70888898 -8.45409993, -61.7092697 -8.45349079, -61.71041184 -8.45349079, -61.71147784 -8.45539436, -61.71208698 -8.45699335, -61.71178241 -8.45874464, -61.71025955 -8.46026749, -61.70797527 -8.46072435, -61.70759456 -8.4622472, -61.70858441 -8.46293249, -61.71018341 -8.46316092, -61.71109712 -8.46377006, -61.71269612 -8.46567363, -61.71124941 -8.46582591, -61.70843213 -8.46620663, -61.70728999 -8.46780563, -61.70721384 -8.46970919, -61.70911741 -8.47016605, -61.70995498 -8.46917619, -61.71185855 -8.4686432, -61.71360983 -8.46772948, -61.71345755 -8.46475992, -61.71376212 -8.46354163, -61.71437126 -8.46300863, -61.71597026 -8.46323706, -61.71794997 -8.46506449, -61.71886368 -8.46719648, -61.72046268 -8.46772948, -61.7203104 -8.46849091, -61.72099568 -8.46940462, -61.72198554 -8.46795791, -61.72099568 -8.46696806, -61.71962511 -8.46514063, -61.7176454 -8.46285635, -61.7160464 -8.46118121, -61.71520883 -8.46034364, -61.71612255 -8.45950607, -61.71642712 -8.45882078, -61.71482812 -8.45691721, -61.71368598 -8.45638421, -61.71383826 -8.45516593, -61.71391441 -8.45288165, -61.71178241 -8.45212022, -61.70957427 -8.45105422, -61.70858441 -8.45196793, -61.7055387 -8.45113036, -61.70355899 -8.44998822, -61.70127471 -8.44983594, -61.70066557 -8.45113036)))",2013,AM,1.6
"MULTIPOLYGON (((-61.72348039 -8.46008795, -61.72330907 -8.46237223, -61.72210982 -8.46362858, -61.72559335 -8.46528469, -61.72873424 -8.46642683, -61.73278884 -8.46482783, -61.73455916 -8.46168694, -61.73684344 -8.46185827, -61.73861376 -8.46031638, -61.73758583 -8.45963109, -61.73855665 -8.45848895, -61.74078383 -8.45723259, -61.74409604 -8.45294956, -61.74409604 -8.45140767, -61.74489553 -8.45055107, -61.74586635 -8.44786704, -61.7470656 -8.44832389, -61.74746535 -8.44661068, -61.74672296 -8.44546854, -61.74752246 -8.44398376, -61.74638032 -8.44267029, -61.7470656 -8.44129972, -61.74632321 -8.44101419, -61.74598057 -8.44198501, -61.74558082 -8.44209922, -61.74552371 -8.44118551, -61.74432446 -8.44204212, -61.743011 -8.44375533, -61.74266836 -8.44461193, -61.74278257 -8.44632514, -61.74312522 -8.44769571, -61.74312522 -8.44855232, -61.74249704 -8.44923761, -61.7413549 -8.45049396, -61.74004143 -8.45055107, -61.73958458 -8.45032264, -61.73964169 -8.45192164, -61.74021276 -8.45294956, -61.73964169 -8.45460567, -61.73827112 -8.45471988, -61.73524444 -8.45540517, -61.73438784 -8.45717549, -61.73335991 -8.45860316, -61.73221777 -8.45923134, -61.73221777 -8.46094455, -61.73033323 -8.46185827, -61.72822027 -8.46174405, -61.72713524 -8.46083034, -61.7259931 -8.4604877, -61.72559335 -8.4596882, -61.72410856 -8.45963109, -61.72348039 -8.46008795)))",2013,AM,1.68
"MULTIPOLYGON (((-61.45758373 -8.53415306, -61.45777174 -8.5340601, -61.45810076 -8.53461787, -61.45636169 -8.53559398, -61.45490463 -8.53689546, -61.45090947 -8.53908006, -61.44855937 -8.540428, -61.44644429 -8.54256611, -61.44945241 -8.54456476, -61.45105047 -8.54321684, -61.45293055 -8.5401956, -61.45391759 -8.53884766, -61.45654969 -8.53740675, -61.45998083 -8.53577991, -61.4617669 -8.5348038, -61.46096787 -8.5340601, -61.45880578 -8.53401362, -61.45838277 -8.5330375, -61.4566907 -8.52969082, -61.45457561 -8.52722726, -61.45264854 -8.52653003, -61.44959342 -8.52494962, -61.44747833 -8.52364811, -61.44484623 -8.52169583, -61.44310716 -8.52025485, -61.44221412 -8.51918574, -61.44132109 -8.51844201, -61.44150909 -8.51732641, -61.44056906 -8.51653619, -61.43887699 -8.51602487, -61.4341298 -8.51142296, -61.43234373 -8.50933116, -61.42971162 -8.50612372, -61.42891259 -8.50533348, -61.42834857 -8.50584481, -61.42778455 -8.50561239, -61.42792555 -8.50505457, -61.42853658 -8.50352056, -61.42740853 -8.50040604, -61.42472943 -8.49575746, -61.42331937 -8.49422341, -61.42209732 -8.49408395, -61.42143929 -8.49413044, -61.42172131 -8.49519962, -61.42237933 -8.49631529, -61.42303736 -8.49766338, -61.4242124 -8.49975524, -61.42538745 -8.50198655, -61.42501144 -8.50393893, -61.42364838 -8.5046362, -61.42331937 -8.50547293, -61.42491743 -8.50840147, -61.42590447 -8.50974952, -61.42703252 -8.51002843, -61.42895959 -8.51123702, -61.43051066 -8.5118878, -61.43229673 -8.51230616, -61.43680891 -8.51695454, -61.43944101 -8.51746586, -61.44005204 -8.51834904, -61.44150909 -8.51951112, -61.44089807 -8.52011541, -61.44066306 -8.52090562, -61.44315416 -8.52234659, -61.44550425 -8.52508907, -61.44992243 -8.52820339, -61.45189651 -8.52857525, -61.4542466 -8.53015564, -61.45598567 -8.53215435, -61.45758373 -8.53415306)))",2013,AM,2.13
"MULTIPOLYGON (((-61.43116868 -8.55795082, -61.43210872 -8.5540466, -61.43295475 -8.55218744, -61.43436481 -8.55135081, -61.43793695 -8.55135081, -61.44254314 -8.55283815, -61.44461122 -8.5529311, -61.44799535 -8.55162969, -61.44780734 -8.54986347, -61.4442352 -8.548655, -61.44103908 -8.548655, -61.43840697 -8.54995643, -61.43314276 -8.55014234, -61.42881859 -8.54651693, -61.42064026 -8.53852229, -61.4165981 -8.53517565, -61.41330797 -8.53517565, -61.41180391 -8.53657009, -61.41735013 -8.54010264, -61.42346037 -8.5449366, -61.42947661 -8.55004939, -61.42834857 -8.55571984, -61.43116868 -8.55795082)))",2013,AM,1.58
