geometry,ano,estado,area_km2
"MULTIPOLYGON (((-46.07421647 -5.25259185, -46.0735272 -5.25209482, -46.07276663 -5.2528522, -46.07378865 -5.25360958, -46.07421647 -5.25259185)))",2013,MA,0.01
"MULTIPOLYGON (((-44.86014447 -2.88193233, -44.86014447 -2.88287551, -44.86033311 -2.88404161, -44.86050459 -2.88481329, -44.86168784 -2.8852763, -44.86239093 -2.88423024, -44.86014447 -2.88193233)))",2014,MA,0.05
"MULTIPOLYGON (((-44.82997113 -4.23105715, -44.82935267 -4.23148234, -44.831324 -4.23438135, -44.83198111 -4.23368559, -44.82997113 -4.23105715)))",2014,MA,0.04
"MULTIPOLYGON (((-46.120796 -5.51099165, -46.1215724 -5.51159618, -46.12296265 -5.5121382, -46.12264711 -5.50921341, -46.12226827 -5.50918042, -46.120796 -5.51099165)))",2013,MA,0.04
"MULTIPOLYGON (((-46.19945824 -5.4812765, -46.19859285 -5.48243611, -46.19795237 -5.48266533, -46.19793522 -5.48394631, -46.19999812 -5.48436346, -46.20145428 -5.48354029, -46.2018337 -5.48248086, -46.19945824 -5.4812765)))",2013,MA,0.09
"MULTIPOLYGON (((-44.85789808 -2.8877438, -44.85789805 -2.88794895, -44.85789777 -2.89022331, -44.85970846 -2.89022335, -44.86100921 -2.8901014, -44.85893613 -2.88827222, -44.85789808 -2.8877438)))",2014,MA,0.05
"MULTIPOLYGON (((-48.63801641 -5.26672474, -48.63860081 -5.26664125, -48.63839209 -5.2640532, -48.63655541 -5.26330183, -48.63609624 -5.26367752, -48.63801641 -5.26672474)))",2013,MA,0.05
"MULTIPOLYGON (((-48.22530824 -5.218106, -48.22050139 -5.22165616, -48.22213509 -5.22291285, -48.22549674 -5.21867151, -48.22530824 -5.218106)))",2013,MA,0.09
"MULTIPOLYGON (((-48.62102711 -5.27064855, -48.62148628 -5.2649298, -48.61952437 -5.26409494, -48.61718678 -5.26355229, -48.61664412 -5.2643454, -48.61656064 -5.26860316, -48.61597624 -5.27123295, -48.61914869 -5.27306963, -48.62090188 -5.2709825, -48.62102711 -5.27064855)))",2013,MA,0.47
"MULTIPOLYGON (((-45.23423386 -3.77746782, -45.23327091 -3.77884805, -45.23314252 -3.77945792, -45.23391288 -3.77923323, -45.23510052 -3.77916904, -45.2353573 -3.7778851, -45.23423386 -3.77746782)))",2014,MA,0.03
"MULTIPOLYGON (((-44.84846206 -4.23521947, -44.84794388 -4.23521937, -44.84756276 -4.2352193, -44.84756281 -4.23495417, -44.84756286 -4.23467649, -44.84724447 -4.23467642, -44.84715747 -4.23710643, -44.84794021 -4.23699047, -44.84846206 -4.23521947)))",2014,MA,0.02
"MULTIPOLYGON (((-48.63025226 -5.27390449, -48.62707981 -5.27319486, -48.6259945 -5.27436366, -48.62307251 -5.27415495, -48.62173674 -5.27478109, -48.62236288 -5.2764508, -48.62319774 -5.27732739, -48.62499267 -5.27849619, -48.62674587 -5.27745262, -48.62925043 -5.2755742, -48.63025226 -5.27390449)))",2013,MA,0.3
