geometry,ano,estado,area_km2
"MULTIPOLYGON (((-54.89284686 -9.48500297, -54.88942311 -9.48371098, -54.88897092 -9.48590736, -54.89226547 -9.48739314, -54.89284686 -9.48500297)))",2013,PA,0.1
"MULTIPOLYGON (((-54.94346333 -9.34651038, -54.942866 -9.34597992, -54.93964041 -9.34704084, -54.93934175 -9.35028252, -54.94435932 -9.35246327, -54.94621105 -9.34910373, -54.94423986 -9.34780706, -54.94346333 -9.34651038)))",2013,PA,0.33
"MULTIPOLYGON (((-54.84134972 -9.38287447, -54.83854226 -9.38596848, -54.8452025 -9.38626315, -54.84134972 -9.38287447)))",2013,PA,0.13
"MULTIPOLYGON (((-49.7488073 -8.85446043, -49.74830448 -8.85313554, -49.74931013 -8.85330115, -49.75157284 -8.85354957, -49.75257849 -8.8525559, -49.75132142 -8.85214187, -49.75115382 -8.85089978, -49.74838828 -8.85040294, -49.74101352 -8.85023733, -49.73908603 -8.85222467, -49.73992407 -8.85371518, -49.7488073 -8.85446043)))",2013,PA,0.5
"MULTIPOLYGON (((-54.39818891 -9.53917743, -54.39799814 -9.54078535, -54.39731682 -9.54165743, -54.39764385 -9.54258403, -54.39802539 -9.54280205, -54.39867946 -9.54242051, -54.39985133 -9.5432926, -54.39952429 -9.54506403, -54.39876122 -9.54574535, -54.39962885 -9.5467171, -54.40021918 -9.54619003, -54.40140473 -9.5457181, -54.40141265 -9.54490006, -54.40141766 -9.54438284, -54.40211331 -9.54400117, -54.40253181 -9.54359473, -54.40253591 -9.5430526, -54.40089745 -9.54304037, -54.40090156 -9.54249824, -54.4003554 -9.54249416, -54.40036773 -9.54086778, -54.40040445 -9.54086805, -54.40091389 -9.54087186, -54.40092621 -9.53924548, -54.40124195 -9.53924783, -54.40147236 -9.53924955, -54.40148146 -9.53804784, -54.40149045 -9.5368618, -54.39922451 -9.53710622, -54.39835242 -9.53743326, -54.39786187 -9.5383326, -54.39818891 -9.53917743)))",2013,PA,0.3
"MULTIPOLYGON (((-54.34202674 -9.54949652, -54.34144534 -9.55102267, -54.3407186 -9.5558555, -54.34104564 -9.55789037, -54.34179647 -9.5591264, -54.34173391 -9.56174284, -54.34217209 -9.56210546, -54.34304417 -9.56105169, -54.34373458 -9.55934385, -54.34507905 -9.55756334, -54.34504271 -9.55352993, -54.34402569 -9.54238474, -54.34355289 -9.54175673, -54.34245325 -9.54029607, -54.34253546 -9.53852273, -54.34311685 -9.53728728, -54.34275348 -9.53572478, -54.34188139 -9.53557944, -54.34057326 -9.53681489, -54.33988285 -9.53830471, -54.34046424 -9.54041226, -54.34068227 -9.54571747, -54.34108197 -9.54749798, -54.34202674 -9.54949652)))",2013,PA,0.97
"MULTIPOLYGON (((-54.70861775 -9.36612341, -54.708645 -9.36705001, -54.70886303 -9.36759506, -54.70834522 -9.36865792, -54.70744588 -9.369421, -54.70788243 -9.3699355, -54.70932632 -9.36928474, -54.71071621 -9.36841265, -54.71074347 -9.36800386, -54.70985202 -9.36721527, -54.70927182 -9.36631418, -54.70861775 -9.36612341)))",2016,PA,0.06
"MULTIPOLYGON (((-50.18467166 -9.35067963, -50.18467142 -9.35077959, -50.18463485 -9.3507795, -50.18462302 -9.35081161, -50.18345891 -9.3507768, -50.18256432 -9.35077474, -50.18248517 -9.35111835, -50.18248471 -9.3513172, -50.18243939 -9.3513171, -50.18241443 -9.35142548, -50.1807229 -9.35131314, -50.17920653 -9.35130964, -50.17920675 -9.35121245, -50.17917931 -9.35121062, -50.17917931 -9.35068883, -50.17768618 -9.35075022, -50.17656633 -9.35075022, -50.17647517 -9.35111004, -50.17647471 -9.35130331, -50.17642623 -9.3513032, -50.1764108 -9.35136409, -50.17529095 -9.35136409, -50.17488656 -9.35114924, -50.17451328 -9.35041259, -50.17420221 -9.35056606, -50.17438885 -9.35093438, -50.17469992 -9.35127201, -50.17463771 -9.3517938, -50.17423332 -9.35256114, -50.17379782 -9.35323639, -50.17376671 -9.35351263, -50.17320679 -9.35351263, -50.17320679 -9.35346628, -50.17319141 -9.35346625, -50.17319254 -9.35298788, -50.17287962 -9.35292288, -50.17264633 -9.35292234, -50.17264645 -9.35287444, -50.17261576 -9.35286807, -50.17264669 -9.3523797, -50.17253693 -9.35237944, -50.16990946 -9.35243836, -50.16987866 -9.35183059, -50.16882436 -9.35182813, -50.16882565 -9.35128549, -50.16885183 -9.35128555, -50.16885183 -9.35127201, -50.16953618 -9.35127201, -50.16947419 -9.35020172, -50.1677355 -9.35019765, -50.16773613 -9.34993279, -50.16770087 -9.34970664, -50.16677249 -9.34965275, -50.16664407 -9.34965245, -50.16664409 -9.3496453, -50.16664324 -9.34964525, -50.16598999 -9.34955317, -50.1646835 -9.34958386, -50.16399915 -9.34967594, -50.16371919 -9.34955317, -50.16328369 -9.34875513, -50.16291041 -9.34832542, -50.16291041 -9.3474731, -50.16202945 -9.34747102, -50.16063961 -9.34752738, -50.16064133 -9.34746775, -50.16063934 -9.34746775, -50.16064178 -9.34644834, -50.16023543 -9.34638151, -50.16009558 -9.34638118, -50.16009625 -9.34610279, -50.16005081 -9.3452958, -50.15957991 -9.34529468, -50.15955086 -9.34583922, -50.15936422 -9.34623824, -50.15905315 -9.34636102, -50.15852434 -9.34685212, -50.15902205 -9.34691351, -50.15900068 -9.34729295, -50.15900027 -9.34746387, -50.15903047 -9.34746394, -50.15958197 -9.3474353, -50.15961308 -9.34798779, -50.15979045 -9.34800838, -50.16009168 -9.34800909, -50.1600916 -9.34804334, -50.1601419 -9.34804918, -50.16011079 -9.34850958, -50.16009047 -9.34851194, -50.16009038 -9.34855173, -50.15975457 -9.34855094, -50.15958197 -9.34857097, -50.15954324 -9.34887671, -50.15954272 -9.34909307, -50.15866939 -9.349091, -50.15771556 -9.34912346, -50.15650239 -9.35213143, -50.1547293 -9.35615224, -50.15485372 -9.35670472, -50.15600468 -9.35713442, -50.15762224 -9.35790174, -50.15858655 -9.35793244, -50.15895983 -9.35774828, -50.15936422 -9.35839283, -50.16048407 -9.35897599, -50.16452797 -9.35897599, -50.16465239 -9.35876114, -50.16477682 -9.35827006, -50.16508789 -9.35805521, -50.16539896 -9.35612155, -50.16807415 -9.35891461, -50.17046938 -9.35906807, -50.17062492 -9.3631195, -50.17756175 -9.36634219, -50.17942817 -9.36732434, -50.18042359 -9.36775403, -50.18089019 -9.36723227, -50.18129458 -9.3663115, -50.18179229 -9.36526797, -50.18381424 -9.35928292, -50.18390756 -9.35830075, -50.18403199 -9.35707303, -50.18437416 -9.35584531, -50.18471634 -9.35526214, -50.18505852 -9.35391164, -50.1863339 -9.3503512, -50.18474745 -9.35047398, -50.18467166 -9.35067963)))",2013,PA,3.91
"MULTIPOLYGON (((-50.02418793 -9.1109812, -50.02418942 -9.11043141, -50.02412322 -9.10990848, -50.02465982 -9.10990848, -50.02471093 -9.10892451, -50.0247395 -9.10891681, -50.02473961 -9.10887648, -50.02488781 -9.10887687, -50.02527308 -9.10877312, -50.025286 -9.10872466, -50.02528705 -9.10833532, -50.02538969 -9.10833559, -50.02540084 -9.10829375, -50.02524753 -9.10806668, -50.02519642 -9.10758731, -50.02455761 -9.10746116, -50.02407212 -9.10783961, -50.02373994 -9.10778915, -50.02315223 -9.10725931, -50.02310362 -9.10817136, -50.02310319 -9.10832946, -50.02276541 -9.10832856, -50.02264119 -9.10836944, -50.02255503 -9.10913507, -50.02255427 -9.10941325, -50.02207014 -9.10941194, -50.02200718 -9.1098264, -50.02200683 -9.1099544, -50.02152092 -9.1099531, -50.02149133 -9.10995894, -50.02146009 -9.11023653, -50.02145939 -9.11049556, -50.02091342 -9.11049409, -50.02091194 -9.11103671, -50.02082298 -9.11103647, -50.02023926 -9.1120278, -50.0217213 -9.1134659, -50.02418793 -9.1109812)))",2013,PA,0.17
"MULTIPOLYGON (((-49.98601933 -9.11039858, -49.985996 -9.11039851, -49.98597139 -9.11048358, -49.9859701 -9.11094106, -49.98546734 -9.11093966, -49.98542413 -9.11094217, -49.9854226 -9.11148216, -49.98521447 -9.11148158, -49.98487659 -9.11149674, -49.98487511 -9.11202325, -49.98454352 -9.11202233, -49.98375048 -9.11207826, -49.98377583 -9.11147756, -49.98345084 -9.11147666, -49.98168074 -9.11149797, -49.98170629 -9.1129613, -49.98159654 -9.11299743, -49.98159625 -9.11309934, -49.98128951 -9.11309848, -49.98109303 -9.11316314, -49.98106748 -9.1141471, -49.9810473 -9.114149, -49.9810472 -9.11418304, -49.98069581 -9.11418206, -49.98053088 -9.11419756, -49.98049966 -9.11473702, -49.98049816 -9.11526674, -49.97995219 -9.11526521, -49.97994911 -9.11635044, -49.97776523 -9.11634432, -49.97776674 -9.11581213, -49.97739491 -9.11580065, -49.97612887 -9.11579709, -49.97612935 -9.11562655, -49.9761114 -9.11525443, -49.97350212 -9.11524707, -49.97347843 -9.11576181, -49.97339908 -9.11576927, -49.97339902 -9.1157894, -49.9731912 -9.11578882, -49.97294183 -9.11581227, -49.97291628 -9.11621594, -49.97285178 -9.11623186, -49.9728515 -9.11633048, -49.97245678 -9.11632936, -49.97230543 -9.11636672, -49.97230523 -9.116435, -49.97235412 -9.11793155, -49.97286517 -9.11788109, -49.97286517 -9.11850099, -49.97339127 -9.11850248, -49.9733911 -9.11856128, -49.97340177 -9.11856229, -49.97339082 -9.11865958, -49.9733898 -9.11901642, -49.97386171 -9.11901642, -49.97386316 -9.11904643, -49.97393569 -9.11904663, -49.97393426 -9.11954729, -49.97501157 -9.11957146, -49.97500909 -9.11959228, -49.97502609 -9.11959233, -49.9750249 -9.12001143, -49.97554817 -9.12010128, -49.97554817 -9.11962192, -49.975572 -9.11961783, -49.97557207 -9.11959386, -49.97570931 -9.11959425, -49.97611825 -9.11952403, -49.97611859 -9.11940157, -49.97600811 -9.11863797, -49.97612086 -9.118608, -49.97612114 -9.11851017, -49.97648504 -9.11851119, -49.97666725 -9.11846276, -49.9766674 -9.11840878, -49.97662137 -9.11793155, -49.97724268 -9.11797071, -49.9777606 -9.11797216, -49.97776051 -9.11800334, -49.97782233 -9.11800724, -49.97782233 -9.11954623, -49.97830783 -9.11959669, -49.97838448 -9.12012651, -49.97884443 -9.12012651, -49.97884656 -9.12008123, -49.97884946 -9.11906046, -49.97889464 -9.11906059, -49.97889553 -9.11904165, -49.97994318 -9.11904165, -49.97994318 -9.11954623, -49.98103193 -9.11957066, -49.9810349 -9.11852397, -49.98158015 -9.1185255, -49.98158092 -9.11850797, -49.98158241 -9.11798288, -49.98160404 -9.11798294, -49.98160408 -9.11798201, -49.98212839 -9.11798201, -49.98212992 -9.11744179, -49.98267589 -9.11744332, -49.98267399 -9.11811409, -49.98272839 -9.11954623, -49.98266992 -9.11955376, -49.98266975 -9.11961379, -49.98221376 -9.11961251, -49.98214068 -9.11962192, -49.98216623 -9.12047972, -49.98239621 -9.12042926, -49.98306057 -9.12005082, -49.98321388 -9.1193444, -49.98316278 -9.11871366, -49.9834694 -9.11770448, -49.98313722 -9.11687191, -49.98354606 -9.11588795, -49.98418487 -9.11485354, -49.98426153 -9.11323883, -49.9850792 -9.11339021, -49.98648458 -9.11316314, -49.98707229 -9.11260809, -49.98753223 -9.11175027, -49.98704674 -9.11094291, -49.98601933 -9.11039858)))",2013,PA,0.66
