geometry,ano,estado,area_km2
"MULTIPOLYGON (((-60.52934669 -12.94560671, -60.51971743 -12.94525007, -60.52025239 -12.9500647, -60.53023829 -12.95024302, -60.52934669 -12.94560671)))",2013,RO,0.55
"MULTIPOLYGON (((-60.72474979 -11.71001108, -60.72322572 -11.70984526, -60.72178632 -11.71017689, -60.72110896 -11.71158633, -60.72161698 -11.71399064, -60.72314105 -11.71515134, -60.7258505 -11.71357611, -60.72474979 -11.71001108)))",2013,RO,0.21
"MULTIPOLYGON (((-62.0030495 -12.81225382, -62.00116057 -12.81231476, -62.00128244 -12.81328969, -62.0039635 -12.81347249, -62.0037807 -12.81268036, -62.0032323 -12.81268036, -62.0030495 -12.81225382)))",2013,RO,0.03
"MULTIPOLYGON (((-60.43448673 -12.54330808, -60.43365922 -12.54317016, -60.43272137 -12.54292191, -60.43203177 -12.54314258, -60.43208694 -12.54410801, -60.43410056 -12.5443011, -60.43459707 -12.54413559, -60.43448673 -12.54330808)))",2013,RO,0.03
"MULTIPOLYGON (((-60.51183353 -12.9077111, -60.51183034 -12.90803381, -60.51127778 -12.90802855, -60.51127872 -12.90793303, -60.51115809 -12.90798128, -60.50883994 -12.9081596, -60.50741338 -12.9099428, -60.5073855 -12.91044466, -60.50733995 -12.91503833, -60.50709018 -12.91503594, -60.50708513 -12.9151016, -60.50567133 -12.91503338, -60.50566901 -12.91499608, -60.50555678 -12.91465254, -60.5035299 -12.91449965, -60.50352643 -12.9144598, -60.50347728 -12.91445934, -60.50348231 -12.91395284, -60.50347921 -12.91391725, -60.50293009 -12.913912, -60.50293284 -12.91363481, -60.50290175 -12.9134075, -60.50241958 -12.9134196, -60.50241256 -12.91336496, -60.5023829 -12.91336467, -60.50238503 -12.9131506, -60.50234284 -12.91282219, -60.50230666 -12.91282185, -60.50188312 -12.91294416, -60.50188312 -12.91372191, -60.50217173 -12.91436727, -60.50282132 -12.91536853, -60.50267354 -12.91537318, -60.5029357 -12.91665083, -60.49869366 -12.91688636, -60.49872538 -12.91741202, -60.49855561 -12.92452732, -60.49816103 -12.92950119, -60.49815374 -12.93016978, -60.49810773 -12.93017314, -60.49808376 -12.93047528, -60.50652178 -12.93080619, -60.50640406 -12.93065483, -60.5069423 -12.930782, -60.50714602 -12.92968993, -60.50584047 -12.92934925, -60.50497295 -12.92879641, -60.50229057 -12.92873022, -60.50179756 -12.92916016, -60.50028728 -12.92909425, -60.50028728 -12.92810145, -60.50115902 -12.9276895, -60.50113905 -12.92729011, -60.50178126 -12.92691008, -60.50453155 -12.92578489, -60.50717997 -12.92548705, -60.5077572 -12.9246597, -60.5090135 -12.92439495, -60.50911536 -12.92389854, -60.50789301 -12.92386544, -60.50720194 -12.92379809, -60.5070625 -12.92369738, -60.50843628 -12.91989412, -60.50931909 -12.91823939, -60.51033771 -12.91731273, -60.51033771 -12.91559179, -60.51018011 -12.91546181, -60.51062313 -12.91404415, -60.51222801 -12.91333087, -60.51222801 -12.91353988, -60.51285032 -12.91347369, -60.51305405 -12.91526084, -60.51248364 -12.91763104, -60.51383288 -12.91868046, -60.51597272 -12.91850214, -60.51525944 -12.92153357, -60.51686432 -12.92189021, -60.5175776 -12.91689726, -60.516686 -12.91297423, -60.51561608 -12.90958616, -60.51559227 -12.90956235, -60.51577038 -12.90890648, -60.51505734 -12.90834385, -60.51449188 -12.90846196, -60.51432829 -12.90849613, -60.51410663 -12.90854242, -60.51383499 -12.90936983, -60.51409645 -12.90942348, -60.51383288 -12.91047776, -60.51151473 -12.91065608, -60.51204969 -12.9090512, -60.51204969 -12.90762464, -60.51183353 -12.9077111)))",2013,RO,2.41
"MULTIPOLYGON (((-60.54039481 -12.95203544, -60.54682201 -12.95238286, -60.54682201 -12.94935142, -60.54022418 -12.94952974, -60.54022418 -12.952018, -60.54022418 -12.95202622, -60.54039481 -12.95203544)))",2013,RO,0.22
"MULTIPOLYGON (((-60.56126379 -12.95186947, -60.56114099 -12.95186832, -60.56114137 -12.95182867, -60.56097389 -12.95177284, -60.56091678 -12.95091623, -60.56028861 -12.95074491, -60.56040282 -12.94937434, -60.56017439 -12.94863195, -60.56014134 -12.94860624, -60.56006729 -12.94860555, -60.56006784 -12.94854907, -60.55966043 -12.9482322, -60.55880382 -12.94806088, -60.55863794 -12.94750792, -60.55841982 -12.94750588, -60.55842049 -12.94743681, -60.55840407 -12.9474327, -60.55793055 -12.94695918, -60.55787243 -12.94695863, -60.557873 -12.94689973, -60.55743441 -12.94641241, -60.55566703 -12.94639584, -60.55568065 -12.94499906, -60.55549161 -12.94269282, -60.55497765 -12.94263571, -60.55497765 -12.94205243, -60.55460399 -12.94204893, -60.55460491 -12.94195428, -60.5545779 -12.94195043, -60.55440658 -12.94040853, -60.55492054 -12.93995168, -60.55518181 -12.93947268, -60.55518307 -12.93934377, -60.55525178 -12.93934441, -60.55526319 -12.9393235, -60.55554872 -12.93909507, -60.55560583 -12.93761029, -60.55560583 -12.93629683, -60.55497765 -12.93646815, -60.55423526 -12.93783872, -60.55412104 -12.93898086, -60.55469212 -12.93909507, -60.55480633 -12.93989457, -60.55383551 -12.93989457, -60.55337865 -12.94029432, -60.55303601 -12.94537685, -60.55349287 -12.94674742, -60.55383551 -12.94914592, -60.55406394 -12.95245812, -60.56154496 -12.95257234, -60.56165918 -12.95200127, -60.56126379 -12.95186947)))",2013,RO,0.65
"MULTIPOLYGON (((-60.60524704 -12.82730755, -60.60066146 -12.82742445, -60.59823831 -12.82733801, -60.59572372 -12.82740253, -60.59404534 -12.87485641, -60.5947047 -12.87573294, -60.59554389 -12.87523624, -60.59704245 -12.87403832, -60.59806147 -12.87330787, -60.5987508 -12.87208072, -60.60015944 -12.87111653, -60.60150814 -12.87047373, -60.60303667 -12.87102888, -60.60327644 -12.87310335, -60.60288682 -12.87403832, -60.60171794 -12.87655103, -60.60024936 -12.87710616, -60.60042918 -12.87985257, -60.59893063 -12.88248209, -60.59788164 -12.88344624, -60.59722228 -12.88382606, -60.59692256 -12.88435195, -60.59596349 -12.88668926, -60.59560384 -12.88885126, -60.59608337 -12.89025362, -60.59806147 -12.89153911, -60.59973985 -12.89253244, -60.60087875 -12.89294146, -60.60243725 -12.89329204, -60.6054943 -12.89329204, -60.60741245 -12.89259087, -60.60762081 -12.89515619, -60.60641077 -12.89512874, -60.60666318 -12.89887213, -60.60666318 -12.9017936, -60.60531448 -12.90176438, -60.60537442 -12.90453974, -60.60659168 -12.90417545, -60.60723263 -12.90366332, -60.60762225 -12.90366332, -60.60744242 -12.90635101, -60.60813176 -12.90567909, -60.60804185 -12.90202731, -60.60810179 -12.89951486, -60.60811411 -12.89899483, -60.62557674 -12.89915215, -60.62623251 -12.89095502, -60.62770799 -12.88128241, -60.62645204 -12.87709589, -60.62625593 -12.8764422, -60.62623251 -12.87636414, -60.62601392 -12.87638842, -60.62592979 -12.87639777, -60.62180606 -12.87685596, -60.62172585 -12.87589336, -60.62533518 -12.87289882, -60.62677379 -12.87137949, -60.62785275 -12.8683408, -60.62953113 -12.86763956, -60.6328879 -12.86623707, -60.63444639 -12.86448395, -60.63408674 -12.86261393, -60.63252824 -12.86004265, -60.63180894 -12.85758821, -60.62809252 -12.85969201, -60.62713344 -12.85992577, -60.62737321 -12.85875699, -60.62641414 -12.85875699, -60.62389656 -12.86249706, -60.62335708 -12.86214643, -60.62515535 -12.85887387, -60.62575477 -12.85735445, -60.62659396 -12.85560127, -60.62755304 -12.85431559, -60.6282124 -12.85338055, -60.62809252 -12.85297147, -60.62719339 -12.85291303, -60.62533518 -12.85402339, -60.6236568 -12.85671162, -60.62263778 -12.8581726, -60.62221818 -12.85980889, -60.62137899 -12.86086079, -60.62107928 -12.86086079, -60.62065968 -12.86004265, -60.62000032 -12.85893231, -60.6189813 -12.85887387, -60.61706315 -12.85939982, -60.61634384 -12.8592245, -60.61544471 -12.8602764, -60.61442569 -12.86162048, -60.61322685 -12.86284769, -60.61268737 -12.86343207, -60.61262743 -12.86448395, -60.61142858 -12.86582801, -60.61058939 -12.866763, -60.60963032 -12.86670457, -60.60879112 -12.8651852, -60.61052945 -12.86273081, -60.61160841 -12.86086079, -60.61274731 -12.8584648, -60.61310696 -12.85706226, -60.61376633 -12.85495843, -60.6147254 -12.85396495, -60.61484529 -12.85227018, -60.61568448 -12.85086761, -60.61604413 -12.84987411, -60.61604413 -12.84835464, -60.61460552 -12.8482962, -60.61394616 -12.84981567, -60.61190812 -12.8518611, -60.61034962 -12.85332211, -60.60831159 -12.85507531, -60.60693292 -12.85583503, -60.60639344 -12.8562441, -60.60501476 -12.85665318, -60.60507471 -12.85414027, -60.60507471 -12.84931892, -60.60525453 -12.8423351, -60.60527701 -12.83794455, -60.60515713 -12.83066819, -60.60524704 -12.82730755)))",2013,RO,18.44
"MULTIPOLYGON (((-60.63632486 -12.94822423, -60.63634902 -12.94822445, -60.63634662 -12.94847876, -60.63640797 -12.94919617, -60.6374064 -12.94927958, -60.63741238 -12.94931839, -60.63744421 -12.94931867, -60.63744238 -12.94951332, -60.63749198 -12.9498356, -60.63743931 -12.94983862, -60.6374391 -12.94986077, -60.63710561 -12.94985775, -60.63700703 -12.9498634, -60.6368827 -12.95024708, -60.63688128 -12.95039786, -60.63681281 -12.95039724, -60.63637944 -12.95050283, -60.63640797 -12.95089204, -60.63632374 -12.950905, -60.63632346 -12.95093495, -60.63613996 -12.95093328, -60.63532395 -12.95105885, -60.63549511 -12.95217089, -60.63583743 -12.9524489, -60.63595154 -12.95317172, -60.63646502 -12.95356093, -60.63703556 -12.95445055, -60.6394318 -12.95456176, -60.63926064 -12.94638823, -60.63937475 -12.93665749, -60.63939778 -12.93653025, -60.63951756 -12.93586873, -60.63954591 -12.9357122, -60.64050853 -12.9362385, -60.6418851 -12.93699112, -60.64557802 -12.9381301, -60.64639232 -12.93838125, -60.64827508 -12.92887262, -60.6519265 -12.92025338, -60.64924499 -12.91769535, -60.64644937 -12.91591584, -60.64508009 -12.9168056, -60.64371081 -12.91636072, -60.64228447 -12.9156934, -60.6411434 -12.91663877, -60.63931769 -12.91747292, -60.63923211 -12.91772316, -60.63911801 -12.92147677, -60.6390039 -12.92614786, -60.63908948 -12.93334895, -60.63346972 -12.93346016, -60.6336694 -12.93807542, -60.63361235 -12.94029961, -60.63372646 -12.94602681, -60.63389762 -12.94744469, -60.63458226 -12.94800071, -60.63632239 -12.94819532, -60.63632486 -12.94822423)))",2013,RO,3.68
"MULTIPOLYGON (((-60.29835899 -12.70648002, -60.29840485 -12.71003133, -60.29842424 -12.7107586, -60.30065142 -12.7107586, -60.30087984 -12.71498452, -60.30710451 -12.71515584, -60.30729916 -12.71505852, -60.3072983 -12.71499164, -60.30743637 -12.71498992, -60.30767559 -12.71487031, -60.30784616 -12.71468551, -60.30784302 -12.71444309, -60.30807259 -12.71444022, -60.30836087 -12.71412791, -60.30807533 -12.71355684, -60.30733294 -12.71338552, -60.30756137 -12.71207206, -60.30818955 -12.71110124, -60.30704741 -12.71087281, -60.30567684 -12.70978778, -60.30493445 -12.70858853, -60.3045918 -12.70698953, -60.30464891 -12.70613292, -60.30499155 -12.70539053, -60.30464891 -12.70470525, -60.30390652 -12.70476236, -60.30276438 -12.7043055, -60.30202199 -12.70476236, -60.30110827 -12.70504789, -60.30070852 -12.70579028, -60.29956638 -12.7059045, -60.2989382 -12.70653267, -60.29835899 -12.70648002)))",2013,RO,0.81
