geometry,ano,estado,area_km2
"MULTIPOLYGON (((-59.90158771 3.32100309, -59.89987944 3.31960541, -59.89991826 3.31820772, -59.90166536 3.31583943, -59.90240272 3.31638338, -59.90121835 3.31798888, -59.90275245 3.31948893, -59.90158771 3.32100309)))",2016,RR,0.09
"MULTIPOLYGON (((-60.85161074 2.76054243, -60.8495578 2.75853838, -60.85253944 2.75472579, -60.85453642 2.75628753, -60.85257515 2.75879538, -60.85161074 2.76054243)))",2016,RR,0.16
"MULTIPOLYGON (((-60.71922558 2.94574885, -60.71794947 2.94721402, -60.71393208 2.94305484, -60.71719325 2.94021903, -60.71870568 2.94281852, -60.718044 2.94442548, -60.71922558 2.94574885)))",2013,RR,0.22
"MULTIPOLYGON (((-60.98677 3.38716901, -60.98449712 3.38254991, -60.98611013 3.38251325, -60.98735656 3.38280653, -60.98871296 3.38218332, -60.98918953 3.38247659, -60.98911621 3.38529937, -60.98677 3.38716901)))",2016,RR,0.17
"MULTIPOLYGON (((-60.28815831 3.06846235, -60.28430353 3.07055495, -60.28138491 3.0645525, -60.2834775 3.06433223, -60.28479914 3.06493798, -60.28645119 3.06521332, -60.28815831 3.06846235)))",2014,RR,0.29
"MULTIPOLYGON (((-60.89079505 2.79518037, -60.88479919 2.79472416, -60.88414747 2.79302968, -60.88486436 2.7913352, -60.88637956 2.79231758, -60.88841814 2.79363929, -60.89079505 2.79518037)))",2016,RR,0.14
"MULTIPOLYGON (((-60.88623298 2.78357968, -60.88890505 2.7792783, -60.89070177 2.7806006, -60.88721057 2.78416623, -60.88623298 2.78357968)))",2016,RR,0.1
"MULTIPOLYGON (((-60.89424919 2.78690347, -60.89320643 2.78657761, -60.89613919 2.78195037, -60.89695753 2.78246903, -60.89424919 2.78690347)))",2016,RR,0.07
"MULTIPOLYGON (((-60.88799264 2.79172623, -60.88551609 2.7894452, -60.88519022 2.78579554, -60.88779712 2.78742485, -60.88788003 2.78924887, -60.88793123 2.79037521, -60.88799264 2.79172623)))",2016,RR,0.12
"MULTIPOLYGON (((-60.89418402 2.7981783, -60.89509643 2.79550623, -60.89600885 2.79127002, -60.89802919 2.79237796, -60.89802919 2.79361623, -60.89592561 2.79611201, -60.89555264 2.7974614, -60.89418402 2.7981783)))",2016,RR,0.13
"MULTIPOLYGON (((-60.89706693 3.09590094, -60.89635289 3.09531583, -60.8960747 3.09284687, -60.89836978 3.09305552, -60.89976074 3.09274255, -60.90008005 3.09390736, -60.89706693 3.09590094)))",2016,RR,0.1
"MULTIPOLYGON (((-60.88825055 3.09215139, -60.89194852 3.09389572, -60.89053907 3.09585337, -60.88727367 3.09351632, -60.88825055 3.09215139)))",2016,RR,0.1
"MULTIPOLYGON (((-60.85214841 2.76445278, -60.85283272 2.76215545, -60.8528816 2.7601514, -60.8568897 2.75521459, -60.85758632 2.75578016, -60.85732962 2.75721864, -60.85762289 2.75829398, -60.85455934 2.76174048, -60.85214841 2.76445278)))",2016,RR,0.21
"MULTIPOLYGON (((-60.79698636 3.05247424, -60.79594314 3.05010961, -60.79726455 3.04906639, -60.7966734 3.04739724, -60.79935099 3.04631924, -60.80053331 3.04729291, -60.8008115 3.04885774, -60.80147221 3.04993574, -60.80105492 3.05049212, -60.79698636 3.05247424)))",2014,RR,0.25
"MULTIPOLYGON (((-60.13232952 3.45082477, -60.13065977 3.45187191, -60.12692404 3.44989084, -60.1256788 3.44799468, -60.12686744 3.44689094, -60.12915982 3.44793808, -60.12944283 3.44802298, -60.13060317 3.44921162, -60.13232952 3.45082477)))",2013,RR,0.19
"MULTIPOLYGON (((-60.85957807 2.76112898, -60.858796 2.7601514, -60.8599691 2.75863614, -60.86099557 2.75858726, -60.86167988 2.75936933, -60.85957807 2.76112898)))",2016,RR,0.05
"MULTIPOLYGON (((-60.84700901 2.70477678, -60.84077167 2.69912888, -60.84122806 2.69879963, -60.84239439 2.69973673, -60.84452422 2.70145896, -60.845437 2.70049654, -60.84257188 2.69758394, -60.84231833 2.69697609, -60.84908813 2.70292792, -60.84700901 2.70477678)))",2013,RR,0.2
"MULTIPOLYGON (((-60.80331954 3.10038161, -60.80020594 3.10045281, -60.79887493 3.09940855, -60.79920769 3.0970827, -60.80041985 3.09641817, -60.80224998 3.09641817, -60.80365229 3.09727257, -60.80448417 3.0980083, -60.804603 3.09902882, -60.80331954 3.10038161)))",2013,RR,0.23
"MULTIPOLYGON (((-60.84196618 3.07743142, -60.84118184 3.07702795, -60.8416572 3.07598367, -60.84213256 3.07591247, -60.84196618 3.07743142)))",2013,RR,0.01
"MULTIPOLYGON (((-60.87649031 2.76347519, -60.87316652 2.76235097, -60.87315855 2.76137741, -60.87121134 2.7601514, -60.87233557 2.75980924, -60.87336203 2.75902717, -60.87873876 2.75922269, -60.87649031 2.76347519)))",2016,RR,0.24
