geometry,ano,estado,area_km2
"MULTIPOLYGON (((-48.59101544 -5.34011935, -48.59126532 -5.33951515, -48.59165798 -5.3388754, -48.5914795 -5.33823566, -48.59069418 -5.33816457, -48.59026582 -5.33876878, -48.58958759 -5.3393019, -48.59101544 -5.34011935)))",2016,TO,0.03
"MULTIPOLYGON (((-49.03145098 -8.12417619, -49.03145093 -8.12418604, -49.03143888 -8.12418599, -49.03096422 -8.12457045, -49.02824532 -8.12570376, -49.02576491 -8.12721483, -49.02690972 -8.12792314, -49.02848382 -8.1300953, -49.03053492 -8.13297575, -49.03363542 -8.13495899, -49.03501872 -8.13477011, -49.03602042 -8.13373127, -49.03568652 -8.13184246, -49.03501872 -8.12976475, -49.03387392 -8.12834813, -49.03401702 -8.12537321, -49.03315842 -8.12329547, -49.03220442 -8.12338991, -49.03148892 -8.12414545, -49.03145098 -8.12417619)))",2013,TO,0.75
"MULTIPOLYGON (((-49.17394908 -8.12430833, -49.17352484 -8.12430643, -49.17352637 -8.1239664, -49.17347914 -8.12376376, -49.17213139 -8.1237577, -49.17082421 -8.12378815, -49.17085535 -8.12425045, -49.17080325 -8.12425045, -49.17080305 -8.1242942, -49.16911387 -8.12428659, -49.16889402 -8.12455865, -49.16873589 -8.12465751, -49.1684893 -8.12529832, -49.1684893 -8.12613045, -49.16845817 -8.12656192, -49.16892515 -8.12677766, -49.16910749 -8.1268792, -49.16908081 -8.12785635, -49.16908081 -8.12803286, -49.16918977 -8.12807208, -49.17079308 -8.12808749, -49.17077752 -8.13039895, -49.17079019 -8.13041813, -49.17101101 -8.13047599, -49.17182045 -8.12958223, -49.17291007 -8.12834946, -49.17275778 -8.12644984, -49.17350159 -8.12563734, -49.17394908 -8.12430833)))",2013,TO,0.26
"MULTIPOLYGON (((-49.18450406 -8.12435558, -49.18441201 -8.12435517, -49.18441689 -8.12327026, -49.18442664 -8.12110043, -49.18453075 -8.1211009, -49.18494268 -8.12099895, -49.18494268 -8.12050583, -49.18551818 -8.12047584, -49.18552266 -8.11947792, -49.1855471 -8.11947803, -49.18556532 -8.11807103, -49.18407098 -8.11800939, -49.18273229 -8.11884154, -49.18267003 -8.12081403, -49.18201625 -8.12204683, -49.1813936 -8.12312552, -49.18133134 -8.12358782, -49.18251437 -8.12454324, -49.18347946 -8.12451242, -49.18347946 -8.12503635, -49.18469362 -8.12512881, -49.18478702 -8.12463569, -49.18450406 -8.12435558)))",2013,TO,0.21
"MULTIPOLYGON (((-49.19948143 -8.12192355, -49.19969935 -8.12136879, -49.19923237 -8.12136879, -49.19867199 -8.12115305, -49.19867199 -8.12019763, -49.19826727 -8.11973532, -49.19845406 -8.1184717, -49.19789368 -8.11751627, -49.19689745 -8.11619099, -49.19555877 -8.11720807, -49.19649273 -8.11748545, -49.19692859 -8.11822514, -49.19745783 -8.11837924, -49.19767576 -8.12201601, -49.19948143 -8.12192355)))",2013,TO,0.08
"MULTIPOLYGON (((-49.07517045 -8.17318927, -49.07457894 -8.17217234, -49.07414309 -8.17103214, -49.07364497 -8.17001521, -49.07317799 -8.16896745, -49.0728978 -8.1696146, -49.07246195 -8.17109377, -49.07246195 -8.17217234, -49.07249308 -8.17294274, -49.07246195 -8.17386722, -49.0719327 -8.17411375, -49.07174591 -8.17386722, -49.07137232 -8.17328172, -49.07099873 -8.17278866, -49.07059401 -8.17254213, -49.06813457 -8.17226479, -49.06639116 -8.17192581, -49.06548833 -8.17180255, -49.06530154 -8.17513067, -49.06707607 -8.17516149, -49.06832136 -8.17516149, -49.06941099 -8.17516149, -49.07081194 -8.1751923, -49.07140345 -8.17531557, -49.07171477 -8.17568536, -49.07236855 -8.17571617, -49.07277327 -8.17550046, -49.07336478 -8.17534638, -49.07361384 -8.17605515, -49.0729912 -8.17642494, -49.07274214 -8.17691799, -49.07224402 -8.17747267, -49.07180817 -8.17734941, -49.07149685 -8.17747267, -49.07124779 -8.17768838, -49.0709676 -8.17762675, -49.07043835 -8.17762675, -49.06937986 -8.17790409, -49.06847702 -8.17842796, -49.06801004 -8.17889019, -49.06716947 -8.17953732, -49.06667135 -8.18012281, -49.0663289 -8.18058504, -49.06604871 -8.18086238, -49.06598645 -8.18135543, -49.06670249 -8.18184847, -49.06794778 -8.1819101, -49.06869495 -8.18200255, -49.0692242 -8.18141706, -49.06966005 -8.18132461, -49.06994024 -8.18175603, -49.0700959 -8.18184847, -49.0708742 -8.18104727, -49.07159025 -8.17999955, -49.07233742 -8.17885937, -49.0728978 -8.17873611, -49.07336478 -8.17805817, -49.07364497 -8.17738022, -49.07420535 -8.17697962, -49.07492139 -8.17697962, -49.07548177 -8.17685636, -49.07582423 -8.17670228, -49.0765714 -8.17639412, -49.07660253 -8.17691799, -49.07604215 -8.17744186, -49.07529498 -8.17765757, -49.07451667 -8.17818143, -49.07398743 -8.17861285, -49.0737695 -8.17904427, -49.07373837 -8.17941405, -49.07302233 -8.1807083, -49.07311572 -8.18138624, -49.07330252 -8.18221826, -49.07373837 -8.182095, -49.0746412 -8.1812938, -49.07535725 -8.18141706, -49.07607329 -8.18083157, -49.0765714 -8.18033852, -49.0765714 -8.17966058, -49.07719405 -8.17879774, -49.07775443 -8.17861285, -49.07831481 -8.17885937, -49.07890632 -8.17885937, -49.07875066 -8.17918294, -49.07831481 -8.17962976, -49.07797235 -8.17993792, -49.07828367 -8.17999955, -49.07878179 -8.17962976, -49.07918651 -8.17938324, -49.07959123 -8.17922916, -49.07915538 -8.17867448, -49.0776299 -8.17728778, -49.07688272 -8.17633249, -49.07610442 -8.17522312, -49.07573083 -8.17463762, -49.07517045 -8.17318927)))",2013,TO,0.89
"MULTIPOLYGON (((-49.10890222 -8.23440057, -49.1085909 -8.23815952, -49.11213997 -8.23859088, -49.11503527 -8.23880655, -49.11494187 -8.23738925, -49.11494187 -8.23643411, -49.11453715 -8.23581788, -49.11422583 -8.23655735, -49.11369658 -8.23668059, -49.11285601 -8.23618762, -49.11257582 -8.23563302, -49.1122645 -8.23486274, -49.11123713 -8.23470868, -49.11052109 -8.23510923, -49.10999185 -8.23498598, -49.10964939 -8.23433894, -49.10933807 -8.23353785, -49.10908901 -8.23341461, -49.10880882 -8.23341461, -49.10890222 -8.23440057)))",2013,TO,0.25
"MULTIPOLYGON (((-49.13584716 -8.16744204, -49.13578489 -8.16577795, -49.13491319 -8.16509998, -49.13373017 -8.16436038, -49.13547357 -8.16392895, -49.13597169 -8.16362078, -49.13578489 -8.16251138, -49.13628301 -8.16214158, -49.13671886 -8.16201831, -49.1364698 -8.16349752, -49.1364698 -8.16528488, -49.13678113 -8.16707224, -49.13721698 -8.16768857, -49.13864906 -8.16904449, -49.14045473 -8.17089347, -49.14201134 -8.17181795, -49.14288304 -8.1726808, -49.14275851 -8.17335876, -49.14244719 -8.17342039, -49.14008114 -8.17163306, -49.1375283 -8.16935266, -49.13727924 -8.16922939, -49.13584716 -8.16744204, -49.13435281 -8.17520771, -49.13273611 -8.18091119, -49.1328896 -8.1810935, -49.13310752 -8.18134002, -49.13360564 -8.18158654, -49.13416602 -8.18186388, -49.1348198 -8.18164817, -49.13513112 -8.18121676, -49.13491319 -8.18066208, -49.134633 -8.17979925, -49.134633 -8.17921375, -49.13438394 -8.17798113, -49.13494432 -8.17736482, -49.13522451 -8.17761134, -49.13547357 -8.17847418, -49.1356915 -8.17909049, -49.13600282 -8.17955272, -49.13612735 -8.180508, -49.13606508 -8.18127839, -49.13653207 -8.18186388, -49.13699905 -8.18232611, -49.1376217 -8.1821104, -49.13827547 -8.18121676, -49.1383066 -8.18007659, -49.13796415 -8.17921375, -49.13771509 -8.17764216, -49.13811981 -8.17739563, -49.13864906 -8.17813521, -49.13889812 -8.1789056, -49.13930284 -8.17905968, -49.13989435 -8.17946028, -49.1404236 -8.18019985, -49.14085945 -8.18056964, -49.14126417 -8.17998414, -49.14188681 -8.17955272, -49.14254059 -8.17924457, -49.14310097 -8.17942946, -49.14331889 -8.1789056, -49.14297644 -8.17779624, -49.14266512 -8.1767485, -49.1431321 -8.17640953, -49.14350569 -8.17699503, -49.14347455 -8.17785787, -49.14363022 -8.17841255, -49.1441906 -8.17902886, -49.14490664 -8.17924457, -49.14528022 -8.17896723, -49.14615193 -8.17905968, -49.14752174 -8.17924457, -49.14808212 -8.17893641, -49.14770854 -8.17825847, -49.14758401 -8.17754971, -49.14823778 -8.17785787, -49.14910949 -8.17875152, -49.14926377 -8.17864971, -49.14929628 -8.17835092, -49.14879816 -8.17372855, -49.14792646 -8.17274244, -49.14693023 -8.17280407, -49.14562268 -8.17280407, -49.14437739 -8.1726808, -49.1441906 -8.1713249, -49.14518683 -8.17175632, -49.14599626 -8.17163306, -49.1469925 -8.17194122, -49.14780193 -8.1707702, -49.14381701 -8.17070857, -49.14381701 -8.16861306, -49.13877359 -8.1684898, -49.13815094 -8.16645591, -49.1384 -8.16331261, -49.13846227 -8.1610938, -49.13783962 -8.1610938, -49.13709245 -8.16189504, -49.13534904 -8.16164851, -49.13099053 -8.16097053, -49.13061695 -8.16195667, -49.12968298 -8.16331261, -49.12986977 -8.16596285, -49.13584716 -8.16744204)))",2013,TO,2.16
"MULTIPOLYGON (((-49.14879816 -8.18192551, -49.14780193 -8.18121676, -49.14683683 -8.18084697, -49.14624532 -8.18063127, -49.14562268 -8.18087779, -49.14500003 -8.18124757, -49.14415946 -8.1810935, -49.14300757 -8.18093942, -49.14219813 -8.1809086, -49.14141983 -8.18124757, -49.14092171 -8.18204877, -49.14036133 -8.18238774, -49.13973869 -8.18297323, -49.13908491 -8.18352791, -49.13880472 -8.18312731, -49.1383066 -8.1829116, -49.13731037 -8.18343546, -49.13650094 -8.18328138, -49.13622075 -8.18248019, -49.13553584 -8.18235693, -49.13581603 -8.18278834, -49.13612735 -8.18334302, -49.13572263 -8.18383606, -49.13509999 -8.18352791, -49.13429055 -8.18312731, -49.13357451 -8.18334302, -49.13301413 -8.18263426, -49.13260941 -8.18201796, -49.13148865 -8.18260345, -49.13027449 -8.18325057, -49.12971411 -8.18399013, -49.13027449 -8.18399013, -49.13186223 -8.18423666, -49.13363677 -8.18442155, -49.13432168 -8.18445236, -49.13506885 -8.18485296, -49.13575376 -8.18513029, -49.13615848 -8.18451399, -49.13622075 -8.18380524, -49.13684339 -8.18389769, -49.13681226 -8.18451399, -49.13703018 -8.18528437, -49.13858679 -8.18540763, -49.1404236 -8.1857466, -49.14148209 -8.18580823, -49.14219813 -8.18593149, -49.14288304 -8.18583904, -49.14316323 -8.18556171, -49.14353682 -8.18476051, -49.14387927 -8.18395932, -49.14412833 -8.18315812, -49.14443965 -8.18288079, -49.14481324 -8.18352791, -49.14471984 -8.18408258, -49.14447079 -8.18479133, -49.1440972 -8.18571578, -49.14403493 -8.18630127, -49.14543588 -8.18648616, -49.1468991 -8.18682512, -49.14826892 -8.18676349, -49.14836231 -8.18546926, -49.14858024 -8.18405176, -49.14879816 -8.18192551)))",2013,TO,0.69
"MULTIPOLYGON (((-49.11719896 -8.16311231, -49.1167631 -8.16311231, -49.11634282 -8.1632818, -49.11604706 -8.16340507, -49.11601593 -8.16354374, -49.11578244 -8.16360537, -49.11576687 -8.16343588, -49.11570461 -8.16342047, -49.11531546 -8.16375946, -49.11489517 -8.16408303, -49.11439706 -8.16442202, -49.11408573 -8.16477641, -49.114148 -8.16503835, -49.1141947 -8.16540815, -49.11436592 -8.16573172, -49.11442819 -8.16607071, -49.11438149 -8.16633265, -49.11438149 -8.1666254, -49.11456828 -8.16704143, -49.11491074 -8.16716469, -49.11509753 -8.16725714, -49.11612489 -8.16771939, -49.11621829 -8.16756531, -49.11628056 -8.16724173, -49.11626499 -8.1668103, -49.11626499 -8.16651755, -49.11634282 -8.16631724, -49.11628056 -8.16599367, -49.11624942 -8.16559305, -49.11663858 -8.16542356, -49.11696546 -8.16493049, -49.11691877 -8.16452988, -49.11677867 -8.1642063, -49.11719896 -8.16311231)))",2013,TO,0.1
